LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,11250,589,734928.6,7170200.0,573.5,93.2,0.0,55079.93,176082.2,117748.0,62320.55,24427.53,7257.066,1821.072,447.2556,112.1611,22.58460,0.000000
1,11250,593,734929.0,7170144.0,573.2,95.0,0.0,55083.27,192519.6,130254.6,68068.41,26035.91,7521.858,1853.798,456.8365,116.5831,23.85485,0.000000
1,11250,597,734929.2,7170088.0,572.8,95.4,0.0,55084.58,206302.4,142282.0,77451.58,30829.48,8948.106,1979.916,357.3623,55.74941,6.851583,0.000000
1,11250,601,734929.2,7170031.0,572.8,95.7,0.0,55063.60,237855.7,171603.6,93597.52,36145.09,9924.269,2063.308,353.6394,53.41611,6.454820,0.000000
1,11260,4092,740329.8,7171984.0,586.4,99.0,0.0,55019.12,265249.3,199998.8,114608.8,46619.81,14143.29,4188.090,1654.465,721.6754,221.0340,0.000000
1,11260,4096,740330.1,7172036.0,588.2,97.8,0.0,55047.78,249279.8,187699.8,109029.6,45434.91,14122.73,4191.101,1605.424,677.2191,202.4682,0.000000
1,11260,4100,740330.1,7172086.5,590.1,96.2,0.0,55046.95,239712.5,181140.6,107015.1,45734.07,14568.58,4367.232,1666.961,703.2110,210.7735,0.000000
1,11260,4104,740330.1,7172136.5,591.5,94.4,0.0,55024.80,241213.8,184096.4,110875.4,48453.00,15698.74,4733.261,1829.616,793.3303,244.3063,0.000000
1,11260,4108,740330.0,7172186.5,592.9,91.4,0.0,54993.30,238141.2,183451.5,112667.3,50472.68,16715.38,5123.205,2045.804,930.5478,299.3849,0.000000
1,11260,4112,740330.0,7172236.5,595.2,86.4,0.0,54963.35,225216.4,170605.0,105638.5,48297.65,16464.46,5271.758,2261.012,1107.485,379.4958,0.000000
1,11260,4116,740330.0,7172286.5,595.5,83.4,0.0,54940.43,190471.6,143617.1,93458.38,45873.93,16381.32,5078.704,2182.660,1218.155,490.9495,0.000000
