 "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_X01 EM1_X02 EM1_X03 EM1_X04 EM1_X05 EM1_X06 EM1_X07 EM1_X08 EM1_X09 EM1_X10 EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11240 3855 729512.38 7168854.5 558.827812748466 102.9935550237453 0.0 54887.78 195032.0 112364.0 51553.0 16959.0 3445.0 314.0 2.0 3.0 44.0 0.0 239448.0 177714.0 112983.0 58863.0 25146.0 9040.0 2736.0 764.0 153.0 0.0
 1 11240 3856 729512.31 7168867.0 558.9038129529274 103.30958097182076 0.0 54885.91 192429.0 109844.0 50308.0 16551.0 3376.0 307.0 -9.0 -2.0 50.0 0.0 237440.0 174930.0 110302.0 57053.0 24350.0 8801.0 2690.0 762.0 150.0 0.0
 1 11240 3857 729512.25 7168879.5 558.9313184448926 103.62714687467547 0.0 54883.97 189863.0 107373.0 49158.0 16156.0 3311.0 302.0 -21.0 -5.0 59.0 0.0 235620.0 172403.0 107917.0 55443.0 23646.0 8597.0 2658.0 762.0 148.0 0.0
 1 11240 3858 729512.19 7168892.0 558.9171616410974 103.93787574469282 0.0 54881.97 187350.0 104947.0 48085.0 15766.0 3245.0 296.0 -34.0 -9.0 68.0 0.0 233952.0 170096.0 105786.0 54005.0 23015.0 8420.0 2638.0 766.0 147.0 0.0
 1 11240 3859 729512.19 7168904.0 558.8742097490496 104.2122076064894 0.0 54879.84 184914.0 102563.0 47071.0 15378.0 3178.0 288.0 -49.0 -13.0 77.0 0.0 232389.0 167968.0 103864.0 52708.0 22435.0 8264.0 2628.0 774.0 148.0 0.0
 1 11240 3860 729512.25 7168916.0 558.8111027043155 104.4055879416597 0.0 54877.62 182584.0 100226.0 46101.0 14994.0 3110.0 279.0 -67.0 -20.0 85.0 0.0 230879.0 165973.0 102099.0 51522.0 21888.0 8126.0 2627.0 788.0 153.0 0.0
 1 11240 3861 729512.38 7168928.0 558.7361528940788 104.48039670450586 0.0 54875.39 180388.0 97961.0 45166.0 14622.0 3043.0 268.0 -86.0 -31.0 91.0 0.0 229368.0 164063.0 100442.0 50419.0 21362.0 8003.0 2634.0 808.0 161.0 0.0
 1 11240 3862 729512.5 7168940.0 558.659016110306 104.42929950977418 0.0 54872.96 178348.0 95811.0 44261.0 14272.0 2981.0 257.0 -108.0 -45.0 95.0 0.0 227807.0 162192.0 98852.0 49374.0 20850.0 7893.0 2648.0 834.0 175.0 0.0
 1 11240 3863 729512.69 7168952.0 558.5873249209571 104.2831426207778 0.0 54870.55 176470.0 93839.0 43386.0 13959.0 2931.0 245.0 -131.0 -61.0 97.0 0.0 226160.0 160321.0 97292.0 48367.0 20352.0 7795.0 2670.0 866.0 192.0 0.0
 1 11240 3864 729512.94 7168964.0 558.5300367030974 104.09782730109178 0.0 54868.08 174747.0 92118.0 42549.0 13699.0 2896.0 234.0 -154.0 -77.0 98.0 0.0 224413.0 158416.0 95740.0 47385.0 19873.0 7711.0 2700.0 904.0 213.0 0.0
 1 11240 3865 729513.19 7168976.0 558.4968142478019 103.92865223700741 0.0 54865.5 173168.0 90708.0 41764.0 13506.0 2886.0 227.0 -175.0 -91.0 98.0 0.0 222568.0 156451.0 94179.0 46422.0 19427.0 7643.0 2742.0 949.0 237.0 0.0
 1 11240 3866 729513.5 7168988.0 558.4759970612598 103.8072893234299 0.0 54862.95 171729.0 89639.0 41060.0 13393.0 2907.0 229.0 -191.0 -97.0 99.0 0.0 220644.0 154409.0 92603.0 45478.0 19028.0 7594.0 2796.0 1002.0 263.0 0.0
 1 11240 3867 729513.88 7169000.0 558.4605369863175 103.73310633809132 0.0 54860.46 170438.0 88902.0 40470.0 13373.0 2969.0 245.0 -196.0 -91.0 103.0 0.0 218666.0 152284.0 91007.0 44563.0 18692.0 7568.0 2864.0 1067.0 290.0 0.0
 1 11240 3868 729514.31 7169012.0 558.4513730519586 103.6808727496812 0.0 54857.97 169317.0 88452.0 40034.0 13457.0 3080.0 283.0 -187.0 -70.0 109.0 0.0 216662.0 150089.0 89395.0 43690.0 18426.0 7567.0 2946.0 1147.0 319.0 0.0
 1 11240 3869 729514.75 7169024.0 558.4497780843058 103.61934814151516 0.0 54855.51 168386.0 88226.0 39783.0 13651.0 3250.0 350.0 -158.0 -31.0 120.0 0.0 214662.0 147852.0 87779.0 42874.0 18231.0 7590.0 3041.0 1245.0 349.0 0.0
 1 11240 3870 729515.25 7169036.0 558.455433313925 103.53131088797097 0.0 54853.1 167651.0 88160.0 39740.0 13957.0 3480.0 452.0 -102.0 25.0 134.0 0.0 212701.0 145618.0 86181.0 42131.0 18101.0 7633.0 3148.0 1360.0 384.0 0.0
 1 11240 3871 729515.75 7169048.0 558.4698885965291 103.4257834104061 0.0 54850.65 167098.0 88201.0 39907.0 14365.0 3768.0 590.0 -15.0 95.0 153.0 0.0 210815.0 143447.0 84638.0 41479.0 18027.0 7694.0 3266.0 1493.0 424.0 0.0
 1 11240 3872 729516.31 7169060.0 558.4927766346716 103.33674980717268 0.0 54848.2 166694.0 88310.0 40267.0 14854.0 4105.0 763.0 103.0 177.0 177.0 0.0 209051.0 141412.0 83204.0 40935.0 18000.0 7768.0 3395.0 1640.0 474.0 0.0
 1 11240 3873 729516.88 7169072.0 558.5254638590758 103.30776203050415 0.0 54845.79 166390.0 88458.0 40785.0 15400.0 4479.0 966.0 250.0 268.0 205.0 0.0 207466.0 139596.0 81943.0 40517.0 18019.0 7857.0 3538.0 1796.0 537.0 0.0
 1 11240 3874 729517.5 7169084.0 558.5907616195765 103.36830334789452 0.0 54843.55 166126.0 88616.0 41405.0 15979.0 4878.0 1193.0 422.0 367.0 238.0 0.0 206125.0 138081.0 80922.0 40247.0 18092.0 7965.0 3695.0 1958.0 617.0 0.0
 1 11240 3875 729518.13 7169096.0 558.7152428384353 103.51335092470377 0.0 54841.35 165828.0 88756.0 42067.0 16572.0 5291.0 1440.0 616.0 475.0 277.0 0.0 205099.0 136942.0 80204.0 40147.0 18230.0 8101.0 3873.0 2123.0 713.0 0.0
 1 11240 3876 729518.81 7169108.0 558.8817627493125 103.7003914918392 0.0 54839.38 165404.0 88835.0 42709.0 17168.0 5714.0 1707.0 830.0 597.0 324.0 0.0 204468.0 136237.0 79837.0 40237.0 18448.0 8279.0 4075.0 2291.0 824.0 0.0
 1 11240 3877 729519.5 7169120.0 559.0720704609578 103.869664696758 0.0 54837.42 164754.0 88806.0 43278.0 17762.0 6147.0 2002.0 1071.0 738.0 383.0 0.0 204306.0 136004.0 79856.0 40528.0 18762.0 8510.0 4307.0 2463.0 946.0 0.0
 1 11240 3878 729520.25 7169132.5 559.2743534214035 103.97637982637882 0.0 54835.46 163790.0 88613.0 43740.0 18351.0 6597.0 2334.0 1349.0 908.0 461.0 0.0 204663.0 136255.0 80280.0 41019.0 19175.0 8802.0 4571.0 2641.0 1074.0 0.0
