LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,AppCon_106140Hz,AppCon_25380Hz,AppCon_6135Hz,AppCon_1518Hz,AppCon_385Hz,AppCon_3323Hz
31003,1423,478999.5,6200845.5,27.3,31.3,0.0,0.00,29.44,31.83,95.64,307.66,743.43,160.74
31003,1430,478999.5,6200870.5,27.1,32.4,0.0,0.00,35.87,34.96,103.94,330.88,784.15,175.72
31003,1437,478999.2,6200895.5,27.0,33.2,0.0,0.00,35.79,35.75,106.82,337.61,793.73,182.02
31003,1444,478998.8,6200921.0,27.1,33.2,0.0,0.00,29.38,33.77,102.28,324.71,772.10,179.11
31003,1451,478998.4,6200946.0,27.6,32.6,0.0,0.00,23.87,31.81,97.22,310.40,743.29,167.91
31003,1458,478998.1,6200971.0,27.0,33.7,0.0,0.00,28.97,36.83,111.76,348.36,808.84,188.89
31003,1465,478997.8,6200995.5,26.1,34.6,0.0,0.00,31.85,40.22,123.19,375.16,855.35,209.23
31003,1472,478997.7,6201020.5,25.3,35.6,0.0,0.00,39.48,46.39,138.50,410.71,916.05,235.86
31003,1479,478997.8,6201045.0,24.8,36.2,0.0,0.00,38.48,47.10,144.93,427.83,936.91,244.67
31003,1486,478997.9,6201070.0,24.6,36.6,0.0,0.00,38.84,47.56,148.27,439.25,949.61,249.67
31003,1493,478998.0,6201094.5,24.4,36.6,0.0,0.00,38.35,46.92,147.69,437.94,946.53,249.93
31003,1500,478998.2,6201119.0,24.3,36.0,0.0,0.00,37.93,46.36,146.29,432.98,935.48,245.47
31003,1507,478998.5,6201143.5,24.2,35.5,0.0,0.00,41.19,48.91,151.56,446.99,957.79,249.14
31003,1514,478998.8,6201168.0,24.1,35.6,0.0,0.00,44.86,51.19,154.71,456.15,971.30,253.95
31003,1521,478999.0,6201193.0,24.2,35.5,0.0,0.00,45.35,50.04,150.84,442.98,954.28,250.48
31003,1528,478999.0,6201217.5,24.3,35.6,0.0,0.00,45.76,48.82,147.69,433.92,944.90,249.38
31003,1535,478998.9,6201242.5,24.5,35.5,0.0,0.00,41.32,46.66,144.62,428.38,938.13,243.69
31003,1542,478998.8,6201267.0,24.8,34.8,0.0,0.00,31.82,39.76,131.91,395.53,885.60,222.27
31003,1549,478998.6,6201291.5,25.1,34.1,0.0,0.00,27.81,37.97,125.15,378.26,856.31,210.60
31003,1556,478998.2,6201316.5,25.1,34.1,0.0,0.00,31.28,39.64,129.43,386.13,870.35,217.97
