Iteration,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
1,625.0,-1.2,729523.50,7168644.50,982.41,2.99,1.02,0.01
1,675.0,553.6,729523.75,7168694.50,689.83,2.84,1.45,0.16
1,675.0,543.6,729523.75,7168694.50,689.88,2.84,1.45,0.16
1,675.0,533.6,729523.75,7168694.50,690.04,2.84,1.45,0.16
1,675.0,523.6,729523.75,7168694.50,690.40,2.84,1.45,0.16
1,675.0,513.6,729523.75,7168694.50,691.04,2.84,1.45,0.16
1,675.0,501.1,729523.75,7168694.50,692.65,2.84,1.44,0.16
1,675.0,483.6,729523.75,7168694.50,696.27,2.84,1.44,0.16
1,675.0,463.0,729523.75,7168694.50,702.58,2.85,1.42,0.15
1,675.0,441.2,729523.75,7168694.50,712.41,2.85,1.40,0.15
1,675.0,418.0,729523.75,7168694.50,726.37,2.86,1.38,0.14
1,675.0,393.5,729523.75,7168694.50,744.79,2.87,1.34,0.13
1,675.0,367.5,729523.75,7168694.50,767.58,2.89,1.30,0.11
1,675.0,339.9,729523.75,7168694.50,794.16,2.90,1.26,0.10
1,675.0,310.7,729523.75,7168694.50,823.33,2.92,1.21,0.08
1,675.0,279.7,729523.75,7168694.50,853.48,2.93,1.17,0.07
1,675.0,246.9,729523.75,7168694.50,882.80,2.95,1.13,0.05
1,675.0,212.1,729523.75,7168694.50,909.56,2.96,1.10,0.04
1,675.0,174.6,729523.75,7168694.50,933.28,2.97,1.07,0.03
1,675.0,134.3,729523.75,7168694.50,952.30,2.98,1.05,0.02
1,675.0,91.6,729523.75,7168694.50,966.57,2.99,1.03,0.01
1,675.0,46.5,729523.75,7168694.50,976.42,2.99,1.02,0.01
1,675.0,-1.2,729523.75,7168694.50,981.91,2.99,1.02,0.01
1,725.0,553.3,729523.88,7168744.50,685.40,2.84,1.46,0.16
1,725.0,543.3,729523.88,7168744.50,685.81,2.84,1.46,0.16
1,725.0,533.3,729523.88,7168744.50,686.57,2.84,1.46,0.16
